Code,Code2,Name,Timedif:number,Timedif2:number
"7","0","TURKMENISTAN","5.00","0.00"
"1","809","TURKS + CAICOS IS.","-5.00","0.00"
"688","0","TUVALU","14.00","0.00"
"1","0","U.S.A","-5.00","-11.00"
"256","0","UGANDA","3.00","0.00"
"380","0","UKRAINE","3.00","0.00"
"971","0","UNITED ARAB EMIRATES","3.00","0.00"
"44","0","UNITED KINGDOM","0.00","0.00"
"598","0","URAGUAY","-3.00","0.00"
"7","0","UZBEKISTAN","6.00","0.00"
"678","0","VANUTAU","11.00","0.00"
"58","0","VENEZUELA","-4.00","0.00"
"84","0","VIETNAM","7.00","0.00"
"1","809496","VIRGIN ISLANDS (BR)","-4.00","0.00"
"1","809","VIRGIN ISLANDS (US)","-4.00","0.00"
"681","0","WALLIS & FUTUNA ISLANDS","12.00","0.00"
"967","0","YEMEN ARAB REPUBLIC","3.00","0.00"
"969","0","YEMEN PDR","3.00","0.00"
"243","0","ZAIRE","2.00","1.00"
"260","0","ZAMBIA","2.00","0.00"
"263","0","ZIMBABWE","2.00","0.00"
